# P;Time by slot;Time by node;Speedup by slot;Speedup by node
1;13.916388;13.98246933;1;1
2;8.932513;8.783699333;1.557947691;1.59186566
3;6.413511167;6.376849167;2.169854802;2.192692499
4;5.5350275;5.3799745;2.514240083;2.598984314
5;5.091366833;4.6930445;2.73333045;2.979402674
6;4.635158;4.540811333;3.002354612;3.079288767
7;4.597737333;4.000589333;3.026790569;3.495102388
8;3.587659333;3.611500667;3.878960265;3.871650769
9;3.439991;3.533411;4.045472212;3.957215657
10;3.512069;3.629049333;3.962447207;3.852928976
11;3.638908;3.715110667;3.824330816;3.763675052
12;3.624397333;3.773270667;3.839641938;3.705662956
13;3.879101333;3.901068;3.587528864;3.584267009
14;4.517308333;4.263661667;3.080681453;3.279450957
15;4.588263;4.269392333;3.033040608;3.275049057
16;4.507584667;4.751732667;3.087327034;2.942604375
