# P;N (MB);Time by slot;Efficiency by slot;Time by node;Efficiency by node
1;54;1.730777667;1;1.677208333;1
2;108;1.825448667;0.948138229;2.050972667;0.817762402
3;162;2.054618333;0.842384028;2.048592333;0.818712589
4;216;2.116408;0.817790174;2.207866667;0.759651096
5;270;2.142446;0.807851244;2.304896;0.727672022
6;324;2.368641667;0.730704729;2.565967667;0.653635802
7;378;2.505496667;0.690792245;2.604268667;0.644022775
8;432;2.611312667;0.662799859;2.679061333;0.626043276
9;486;2.670346;0.648147344;2.826147667;0.593460969
10;540;2.863112667;0.604509102;2.977585;0.56327807
11;594;3.023605333;0.57242182;3.142437333;0.53372849
12;648;3.240850333;0.534050477;3.48807;0.480841363
13;702;3.379891;0.512080912;3.529132333;0.475246654
14;756;3.665890333;0.472130236;3.667545667;0.457310825
15;810;3.629882;0.476813755;3.795605667;0.441881607
16;864;3.897394;0.444085886;4.01324;0.417918772
17;918;4.120214667;0.42006978;4.225767667;0.396900271
18;972;4.122399;0.419847197;4.314066667;0.388776638
19;1026;4.523530667;0.382616543;4.377426333;0.383149414
20;1080;4.42725;0.390937414;4.525900333;0.370580041
